date,interviewer,interviewee_position,research_q,q_field,interview_turn,data,speaker,Code,LTP,Activity,Value_activity,Bias_activity,Q8_aware,Evidence,Value_evid,Constraining_factors,Enabling_factors,Outcomes,NGO_network,Gvt_network,Code_notes
12_april_2024,Mwamba,Early learning care specialist.,NA,Conversation before interview questions,1,Conversati,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,Conversation before interview questions,2,Thank you ,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,Conversation before interview questions,3,This resea,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,Conversation before interview questions,4,Aaah nothi,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,Conversation before interview questions,5,That’s the,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",6,you can st,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",7,Am CENSOR ,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",8,Under the ,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",9,And the ot,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",10,I am a psy,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
